	OG	Dmel_gene	dS	dN	Omega	FN	FP	Branches	drosophila_melanogaster_filt	drosophila_persimilis_filt	drosophila_pseudoobscura_filt	drosophila_sechellia_filt	drosophila_simulans_filt	drosophila_subobscura_filt	Dmel_feature_name	Dmel_locus_tag	Dmel_ref_flybase
0	OG0001401	Appl 	5.998234551472253	0.8470216019029722	0.2011924346648008	0.3539170506912442	0.0	['Node7']	lcl|NC_004354.4_cds_NP_001245448.1_112	lcl|NW_020825338.1_cds_XP_026847727.1_16318	lcl|NC_046683.1_cds_XP_015041414.2_20087	lcl|NC_045954.1_cds_XP_032582572.1_19813	lcl|NC_052525.2_cds_XP_016037545.2_21704	lcl|NC_048530.1_cds_XP_034671221.1_2959	lcl|NC_004354.4_cds_NP_001245448.1_112	locus_tag=Dmel_CG7727 	db_xref=FLYBASE:FBpp0298292,GeneID:31002 
1	OG0001430	CG3706 	6.825913653611236	0.7756396332961825	0.2026946624217134	0.3834080717488789	0.0	[]	lcl|NC_004354.4_cds_NP_652634.1_215	lcl|NW_020825317.1_cds_XP_002022017.1_13719	lcl|NC_046683.1_cds_XP_001354491.2_21274	lcl|NC_045954.1_cds_XP_002040288.1_19902	lcl|NC_052525.2_cds_XP_016037608.2_21788	lcl|NC_048530.1_cds_XP_034671186.1_872	lcl|NC_004354.4_cds_NP_652634.1_215	locus_tag=Dmel_CG3706 	db_xref=FLYBASE:FBpp0070182,GeneID:53540 
2	OG0001491	Nmdar2 	3.417469542676313	0.5035875193515341	0.14710345662891	0.5452361889511609	0.0016012810248198	['Node6']	lcl|NC_004354.4_cds_NP_001014714.1_365	lcl|NW_020825317.1_cds_XP_002021929.2_13821	lcl|NC_046683.1_cds_XP_001355429.4_21394	lcl|NC_045954.1_cds_XP_032580028.1_19997	lcl|NC_052525.2_cds_XP_016037681.1_21900	lcl|NC_048530.1_cds_XP_034649887.1_584	lcl|NC_004354.4_cds_NP_001014714.1_365	locus_tag=Dmel_CG33513 	db_xref=FLYBASE:FBpp0070276,GeneID:31107 
3	OG0001494	Mur2B 	1.9581476523348704	0.9716944440753637	0.5339752893878569	0.2025961984237366	0.0004636068613815	['Node6', 'Drosophila_melanogaster', 'Drosophila_pseudoobscura', 'Drosophila_simulans', 'Drosophila_subobscura']	lcl|NC_004354.4_cds_NP_569927.1_376	lcl|NW_020825317.1_cds_XP_026845957.1_13824	lcl|NC_046683.1_cds_XP_015041145.2_21401	lcl|NC_045954.1_cds_XP_032581753.1_20003	lcl|NC_052525.2_cds_XP_039153074.1_21907	lcl|NC_048530.1_cds_XP_034668793.1_578	lcl|NC_004354.4_cds_NP_569927.1_376	locus_tag=Dmel_CG14796 	db_xref=FLYBASE:FBpp0070274,GeneID:31111 
4	OG0001500	b6 	5.11689655487648	0.8092417561755035	0.2461201836372113	0.3807947019867549	0.0016556291390728	[]	lcl|NC_004354.4_cds_NP_477365.1_410	lcl|NW_020825317.1_cds_XP_026845897.1_13831	lcl|NC_046683.1_cds_XP_001355423.4_21417	lcl|NC_045954.1_cds_XP_002040383.1_20022	lcl|NC_052525.2_cds_XP_039153112.1_21923	lcl|NC_048530.1_cds_XP_034649983.1_568	lcl|NC_004354.4_cds_NP_477365.1_410	locus_tag=Dmel_CG3100 	db_xref=FLYBASE:FBpp0070262,GeneID:31124 
5	OG0001581	trol 	3.164833644686502	0.6880981347535317	0.2219988283754482	0.5073476702508961	0.0003584229390681	['Node6', 'Drosophila_persimilis', 'Drosophila_sechellia', 'Drosophila_simulans', 'Drosophila_subobscura']	lcl|NC_004354.4_cds_NP_001027038.3_701	lcl|NW_020825317.1_cds_XP_026845949.1_13666	lcl|NC_046683.1_cds_XP_015042333.2_21202	lcl|NC_045954.1_cds_XP_032580035.1_20194	lcl|NC_052525.2_cds_XP_039152482.1_22114	lcl|NC_048530.1_cds_XP_034667172.1_806	lcl|NC_004354.4_cds_NP_001027038.3_701	locus_tag=Dmel_CG33950 	db_xref=FLYBASE:FBpp0309655,GeneID:45320 
6	OG0001711	CG6927 	6.408387437921603	0.6626591881038597	0.1995342970767943	0.4881170018281535	0.0	[]	lcl|NC_004354.4_cds_NP_572194.1_1127	lcl|NW_020825324.1_cds_XP_002022565.1_14571	lcl|NC_046683.1_cds_XP_001355645.2_17323	lcl|NC_045954.1_cds_XP_002036963.1_20476	lcl|NC_052525.2_cds_XP_002106161.1_22479	lcl|NC_048530.1_cds_XP_034668124.1_741	lcl|NC_004354.4_cds_NP_572194.1_1127	locus_tag=Dmel_CG6927 	db_xref=FLYBASE:FBpp0070689,GeneID:31419 
7	OG0001772	CG15765 	3.708106833598152	1.180249493557557	0.4220530424576469	0.2186616399622997	0.000942507068803	['Node3', 'Node6', 'Node7']	lcl|NC_004354.4_cds_NP_572269.1_1320	lcl|NW_020825350.1_cds_XP_026848420.1_17347	lcl|NC_046683.1_cds_XP_033238201.1_20272	lcl|NC_045954.1_cds_XP_032581221.1_20635	lcl|NC_052525.2_cds_XP_016038234.1_22686	lcl|NC_048530.1_cds_XP_034657972.1_3800	lcl|NC_004354.4_cds_NP_572269.1_1320	locus_tag=Dmel_CG15765 	db_xref=FLYBASE:FBpp0070783,GeneID:31513 
8	OG0001898	CheA7a 	5.762245403382668	0.9541986673143956	0.4197419356706538	0.1774193548387097	0.0053763440860215	[]	lcl|NC_004354.4_cds_NP_572395.2_1713	lcl|NW_020825361.1_cds_XP_026849312.1_18706	lcl|NC_046683.1_cds_XP_001355149.2_17936	lcl|NC_045954.1_cds_XP_002043227.1_20908	lcl|NC_052525.2_cds_XP_002106377.1_22956	lcl|NC_048530.1_cds_XP_034653420.1_3164	lcl|NC_004354.4_cds_NP_572395.2_1713	locus_tag=Dmel_CG15033 	db_xref=FLYBASE:FBpp0071013,GeneID:31672 
9	OG0001914	Ir7a 	3.734087767570783	0.6950413478024893	0.3082902235324652	0.3376	0.0	[]	lcl|NC_004354.4_cds_NP_572406.1_1754	lcl|NW_020825356.1_cds_XP_002022730.2_18040	lcl|NC_046683.1_cds_XP_001355159.3_17888	lcl|NC_045954.1_cds_XP_002043252.1_20942	lcl|NC_052525.2_cds_XP_002106397.2_22998	lcl|NC_048530.1_cds_XP_034671031.1_3123	lcl|NC_004354.4_cds_NP_572406.1_1754	locus_tag=Dmel_CG12663 	db_xref=FLYBASE:FBpp0071032,GeneID:31686 
