#,CMT,GeneID,Name,#SEQ,ave_SP,SP,SP200,SP_PHO,TM_PHO,ave_GPI,XC,Others,XC_HH,Others_HH,GO_CC
1,CMT_E,FBgn0030074,CG12662,11,0.364,0.364,0.364,0.364,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,N/A
2,CMT_E,FBgn0033516,CG12898,25,0.293,0.280,0.280,0.320,0.000,0.020,LIG[DUF1091:1],N/A,N/A,N/A,N/A
3,CMT_E,FBgn0033640,CG13198,14,0.452,0.429,0.500,0.429,0.143,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
4,CMT_E,FBgn0034283,CG14492,12,0.944,1.000,1.000,0.833,0.083,0.042,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
5,CMT_E,FBgn0034284,CG14491,10,0.200,0.200,0.200,0.200,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,N/A
6,CMT_E,FBgn0034321,CG14502,45,0.733,0.689,0.800,0.711,0.044,0.233,LIG[DUF1091:1],N/A,N/A,N/A,N/A
7,CMT_E,FBgn0034322,CG18536,45,0.733,0.689,0.800,0.711,0.044,0.233,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
8,CMT_E,FBgn0034323,CG18537,45,0.733,0.689,0.800,0.711,0.044,0.233,LIG[DUF1091:1],N/A,N/A,N/A,N/A
9,CMT_E,FBgn0034324,CG18538,5,0.467,0.400,0.800,0.200,0.200,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
10,CMT_E,FBgn0034325,CG18539,45,0.733,0.689,0.800,0.711,0.044,0.233,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
11,CMT_E,FBgn0034906,CG13561,12,0.556,0.583,0.583,0.500,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
12,CMT_E,FBgn0035011,CG13589,43,0.736,0.721,0.744,0.744,0.000,0.000,"LIG[E1_DerP2_DerF2:0.093, DUF1091:1]",N/A,N/A,N/A,N/A
13,CMT_E,FBgn0035012,CG13590,43,0.736,0.721,0.744,0.744,0.000,0.000,"LIG[E1_DerP2_DerF2:0.093, DUF1091:1]",N/A,N/A,N/A,N/A
14,CMT_E,FBgn0035068,CG12849,13,0.744,0.769,0.769,0.692,0.077,0.115,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
15,CMT_E,FBgn0035594,CG4597,12,0.222,0.167,0.250,0.250,0.083,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
16,CMT_E,FBgn0036783,CheA75a,13,1.000,1.000,1.000,1.000,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005576:extracellular region:ISM;
17,CMT_E,FBgn0037013,CG13250,15,0.822,0.800,0.800,0.867,0.133,0.000,LIG[DUF1091:1],N/A,N/A,N/A,N/A
18,CMT_E,FBgn0037175,CG14455,11,0.606,0.182,0.818,0.818,0.000,0.000,"LIG[TRP_N:0.0909, E1_DerP2_DerF2:0.455, DUF1091:1]",N/A,N/A,N/A,N/A
19,CMT_E,FBgn0037782,Npc2d,13,0.872,0.846,0.923,0.846,0.077,0.000,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,N/A
20,CMT_E,FBgn0037783,Npc2c,14,0.786,0.714,0.857,0.786,0.071,0.000,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,N/A
21,CMT_E,FBgn0038142,CheA87a,12,0.861,0.833,0.917,0.833,0.083,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005576:extracellular region:ISM;
22,CMT_E,FBgn0038198,Npc2b,13,1.000,1.000,1.000,1.000,0.000,0.000,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,GO:0005615:extracellular space:IDA;
23,CMT_E,FBgn0039154,Npc2f,16,0.792,0.938,0.938,0.500,0.375,0.000,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,N/A
24,CMT_E,FBgn0039621,CG14518,11,0.485,0.364,0.545,0.545,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
25,CMT_E,FBgn0039800,Npc2g,19,1.000,1.000,1.000,1.000,0.000,0.026,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,GO:0005576:extracellular region:IDA;
26,CMT_E,FBgn0039801,Npc2h,19,1.000,1.000,1.000,1.000,0.000,0.026,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,GO:0005576:extracellular region:IDA; GO:0005615:extracellular space:IDA;
27,CMT_E,FBgn0050050,CG30050,12,0.722,0.750,0.750,0.667,0.000,0.000,"LIG[E1_DerP2_DerF2:0.667, DUF1091:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
28,CMT_E,FBgn0051410,Npc2e,12,1.000,1.000,1.000,1.000,0.000,0.042,LIG[E1_DerP2_DerF2:1],N/A,N/A,N/A,GO:0005615:extracellular space:IDA;
29,CMT_E,FBgn0051976,CG31976,12,0.611,0.750,0.750,0.333,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
30,CMT_E,FBgn0053137,CG33137,38,0.596,0.605,0.605,0.579,0.000,0.013,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
31,CMT_E,FBgn0053453,CG33453,43,0.736,0.721,0.744,0.744,0.000,0.000,"LIG[E1_DerP2_DerF2:0.093, DUF1091:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
32,CMT_E,FBgn0053454,CG33454,43,0.736,0.721,0.744,0.744,0.000,0.000,"LIG[E1_DerP2_DerF2:0.093, DUF1091:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
33,CMT_E,FBgn0053463,CG33463,7,0.143,0.143,0.143,0.143,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
34,CMT_E,FBgn0053467,CG33467,38,0.596,0.605,0.605,0.579,0.000,0.013,LIG[DUF1091:1],N/A,N/A,N/A,N/A
35,CMT_E,FBgn0053475,CG33475,8,0.000,0.000,0.000,0.000,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
36,CMT_E,FBgn0053476,CG33476,25,0.293,0.280,0.280,0.320,0.000,0.020,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
37,CMT_E,FBgn0053477,CG33477,25,0.293,0.280,0.280,0.320,0.000,0.020,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
38,CMT_E,FBgn0053483,CG33483,10,0.667,0.600,0.700,0.700,0.100,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
39,CMT_E,FBgn0053626,CG33626,10,0.533,0.400,0.400,0.800,0.000,0.000,"LIG[E1_DerP2_DerF2:0.1, DUF1091:1]",N/A,N/A,N/A,GO:0005575:cellular_component:ND;
40,CMT_E,FBgn0053627,CG33627,8,1.000,1.000,1.000,1.000,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
41,CMT_E,FBgn0053630,CG33630,22,0.697,0.636,0.818,0.636,0.045,0.045,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
42,CMT_E,FBgn0053631,CG33631,22,0.697,0.636,0.818,0.636,0.045,0.045,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
43,CMT_E,FBgn0053632,CG33632,2,0.667,0.000,1.000,1.000,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
44,CMT_E,FBgn0053640,CG33640,13,0.744,0.615,0.923,0.692,0.231,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
45,CMT_E,FBgn0053641,CG33641,45,0.726,0.689,0.733,0.756,0.000,0.033,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
46,CMT_E,FBgn0053642,CG33642,45,0.726,0.689,0.733,0.756,0.000,0.033,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
47,CMT_E,FBgn0053643,CG33643,45,0.726,0.689,0.733,0.756,0.000,0.033,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
48,CMT_E,FBgn0053644,CG33644,19,0.526,0.526,0.526,0.526,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
49,CMT_E,FBgn0053645,CG33645,45,0.726,0.689,0.733,0.756,0.000,0.033,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
50,CMT_E,FBgn0053647,CG33647,19,0.526,0.526,0.526,0.526,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
51,CMT_E,FBgn0053648,CG33648,5,0.533,0.600,0.600,0.400,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
52,CMT_E,FBgn0053658,CG33658,7,0.143,0.143,0.143,0.143,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
53,CMT_E,FBgn0053679,CG33679,13,0.821,0.769,0.846,0.846,0.077,0.038,LIG[DUF1091:1]; PKDREJ[Y_Y_Y:0.0769],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
54,CMT_E,FBgn0053687,CG33687,5,0.400,0.400,0.400,0.400,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
55,CMT_E,FBgn0053688,CG33688,25,0.507,0.440,0.520,0.560,0.040,0.040,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
56,CMT_E,FBgn0053689,CG33689,25,0.507,0.440,0.520,0.560,0.040,0.040,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
57,CMT_E,FBgn0053690,CG33690,8,0.875,0.875,0.875,0.875,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
58,CMT_E,FBgn0053700,CG33700,13,0.795,0.769,0.846,0.769,0.077,0.115,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
59,CMT_E,FBgn0053702,CG33702,8,1.000,1.000,1.000,1.000,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
60,CMT_E,FBgn0053703,CG33703,10,0.800,0.800,0.800,0.800,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
61,CMT_E,FBgn0053721,CG33721,7,0.810,0.857,0.857,0.714,0.143,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
62,CMT_E,FBgn0053723,CG33723,6,0.944,1.000,1.000,0.833,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,N/A
63,CMT_E,FBgn0053752,CG33752,10,0.700,0.700,0.700,0.700,0.000,0.000,LIG[DUF1091:1],N/A,N/A,N/A,GO:0005575:cellular_component:ND;
